id,name,description,format,weight,parent_name
13,Accounting and Bookkeeping,,,,
14,Business Planning,,,,
15,City Contracting,,,,
16,Financing and Loans,,,,
17,Commercial Energy Efficiency and Water Conservation Incentives,,,,
18,Hiring and Employee Management,,,,
19,Legal Assistance,,,,
20,Marketing and Branding,,,,
21,Offers a number of rebates and programs for businesses that reduce and conserve,,,,
22,energy and water.,,,,
23,Networking,,,,
24,Permitting and Licensing,,,,
25,RHEP,,,,
26,Technology,,,,
27,Other,,,,
